,ADMIN1,ADMIN2,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2
686,Galgaduud,Cabudwaaq,2011-10-01,0.0,71755.7890625,0.0,,0.0,0.0,71755.7890625,0.0,,0.0,0.0,71755.7890625,0.0,,0.0,0.0,0.0,0.0,71755.7890625,143511.578125,71755.7890625,143511.578125,71755.7890625,143511.578125
687,Galgaduud,Cadaado,2011-10-01,0.0,70449.6796875,0.0,,0.0,0.0,70449.6796875,0.0,,0.0,224.554443359375,70225.125,0.0,,0.0,0.0,0.0,0.0,70449.6796875,140899.359375,70449.6796875,140899.359375,70449.67944335938,140899.35888671875
688,Galgaduud,Ceel Buur,2011-10-01,0.0,90284.4375,40804.265625,,0.0,0.0,112325.0625,18763.626953125,,0.0,0.0,112325.0625,18763.626953125,,0.0,0.0,0.0,0.0,131088.703125,262177.40625,131088.689453125,262177.37890625,131088.689453125,262177.37890625
689,Galgaduud,Ceel Dheer,2011-10-01,0.0,0.0,119703.9375,,0.0,0.0,0.0,119703.9375,,0.0,0.0,0.0,119703.9375,,0.0,0.0,0.0,0.0,119703.9375,239407.875,119703.9375,239407.875,119703.9375,239407.875
690,Galgaduud,Dhuusamarreeb,2011-10-01,0.0,149938.3125,254.55020141601562,,0.0,0.0,150192.859375,0.0,,0.0,0.0,150192.859375,0.0,,0.0,0.0,0.0,0.0,150192.86270141602,300385.72540283203,150192.859375,300385.71875,150192.859375,300385.71875
691,Gedo,Baardheere,2011-10-01,0.0,72780.5625,104464.1875,,0.0,0.0,72780.5625,104464.1875,,0.0,9.56098747253418,131265.1875,46059.91015625,,0.0,89.90931701660156,89.90931701660156,0.0,177334.6593170166,354669.3186340332,177334.6593170166,354669.3186340332,177334.65864372253,354669.31728744507
692,Gedo,Belet Xaawo,2011-10-01,0.0,78568.8828125,6785.41015625,,0.0,0.0,85276.078125,78.21808624267578,,0.0,0.0,85276.078125,78.21808624267578,,0.0,0.0,0.0,0.0,85354.29296875,170708.5859375,85354.29621124268,170708.59242248535,85354.29621124268,170708.59242248535
693,Gedo,Ceel Waaq,2011-10-01,0.0,29543.20703125,2136.214111328125,,0.0,0.0,29543.20703125,2136.214111328125,,0.0,0.0,29543.20703125,2136.214111328125,,0.0,0.0,0.0,0.0,31679.421142578125,63358.84228515625,31679.421142578125,63358.84228515625,31679.421142578125,63358.84228515625
694,Gedo,Doolow,2011-10-01,0.0,5259.8173828125,37718.96875,,0.0,0.0,5259.8173828125,37718.96875,,0.0,0.0,26692.373046875,16286.412109375,,0.0,0.0,0.0,0.0,42978.7861328125,85957.572265625,42978.7861328125,85957.572265625,42978.78515625,85957.5703125
695,Gedo,Garbahaarey,2011-10-01,0.0,44247.6953125,55295.47265625,,0.0,0.0,44247.6953125,55295.47265625,,0.0,0.0,58275.1796875,41359.640625,,0.0,91.64579010009766,91.64579010009766,0.0,99634.8137588501,199269.6275177002,99634.8137588501,199269.6275177002,99634.8203125,199269.640625
696,Gedo,Luuq,2011-10-01,0.0,28730.796875,75520.203125,,0.0,0.0,28730.796875,75454.8125,,0.0,0.0,58179.63671875,46269.48046875,,0.0,198.1165008544922,263.51275634765625,0.0,104449.11650085449,208898.23300170898,104449.12213134766,208898.2442626953,104449.1171875,208898.234375
