ADMIN0,ADMIN1,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,period_ML1,period_ML2
Somalia,Banadir,2009-10-01,0.0,41647.6171875,1346439.75,,0.0,0.0,41647.6171875,1346439.75,,0.0,0.0,41647.6171875,1346439.75,,0.0,0.0,0.0,0.0,1388087.3671875,1388087.3671875,1388087.3671875,1388087.3671875,1388087.3671875,1388087.3671875,0.0,0.0,3.0003599320902343,96.99964006790978,0.0,1388087.3671875,100.0,1346439.75,96.99964006790978,0.0,0.0,0.0,0.0,3.0003599320902343,96.99964006790978,0.0,1388087.3671875,100.0,1346439.75,96.99964006790978,0.0,0.0,0.0,0.0,3.0003599320902343,96.99964006790978,0.0,1388087.3671875,100.0,1346439.75,96.99964006790978,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
Somalia,Bakool,2009-10-01,0.0,0.0,483539.5,,0.0,0.0,0.0,483539.5,,0.0,0.0,0.0,483539.5,,0.0,0.0,0.0,0.0,483539.5,483539.5,483539.5,483539.5,483539.5,483539.5,0.0,0.0,0.0,100.0,0.0,483539.5,100.0,483539.5,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,483539.5,100.0,483539.5,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,483539.5,100.0,483539.5,100.0,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
Somalia,Awdal,2009-10-01,20.723438262939453,463644.90625,0.0,,0.0,0.0,463665.65625,0.0,,0.0,0.0,463665.65625,0.0,,0.0,0.0,0.0,0.0,463665.6296882629,463665.6296882629,463665.65625,463665.65625,463665.65625,463665.65625,0.0,0.004469479067679111,99.99553052093229,0.0,0.0,463644.90625,99.99553052093229,0.0,0.0,20.723438262939453,0.004469479067679111,0.0,0.0,100.0,0.0,0.0,463665.65625,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,463665.65625,100.0,0.0,0.0,0.0,0.0,0.004469479067680028,0.004469479067680028,Oct - Dec 2009,Jan - Mar 2010
Somalia,Lower Juba,2009-10-01,0.0,592224.4375,0.0,,0.0,0.0,592224.4375,0.0,,0.0,0.0,592224.4375,0.0,,0.0,0.0,0.0,0.0,592224.4375,592224.4375,592224.4375,592224.4375,592224.4375,592224.4375,0.0,0.0,100.0,0.0,0.0,592224.4375,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,592224.4375,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,592224.4375,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
Somalia,Middle Juba,2010-01-01,380810.125,121.82552337646484,0.0,,0.0,380810.125,121.82552337646484,0.0,,0.0,380810.125,121.82552337646484,0.0,,0.0,0.0,0.0,0.0,380931.95052337646,380931.95052337646,380931.95052337646,380931.95052337646,380931.95052337646,380931.95052337646,0.0,99.96801908498115,0.03198091501883322,0.0,0.0,121.82552337646484,0.03198091501883322,0.0,0.0,380810.125,99.96801908498115,0.0,99.96801908498115,0.03198091501883322,0.0,0.0,121.82552337646484,0.03198091501883322,0.0,0.0,380810.125,99.96801908498115,0.0,99.96801908498115,0.03198091501883322,0.0,0.0,121.82552337646484,0.03198091501883322,0.0,0.0,380810.125,99.96801908498115,0.0,0.0,Jan - Mar 2010,Apr - Jun 2010
Somalia,Woqooyi Galbeed,2010-01-01,76168.3359375,1048479.625,62.00344848632813,,0.0,76168.328125,1048479.625,62.00344848632813,,0.0,76168.328125,1048419.5,122.23675537109376,,0.0,0.0,0.0,0.0,1124709.9643859863,1124709.9643859863,1124709.9565734863,1124709.9565734863,1124710.0648803709,1124710.0648803709,0.0,6.7722647037347645,93.22222245736013,0.005512838905110768,0.0,1048541.6284484864,93.22773529626524,62.00344848632813,0.005512838905110768,76168.3359375,6.7722647037347645,0.0,6.772264056152982,93.2222231049036,0.0055128389434042436,0.0,1048541.6284484864,93.22773594384701,62.00344848632813,0.0055128389434042436,76168.328125,6.772264056152982,0.0,6.772263404000175,93.21686830565656,0.010868290343262407,0.0,1048541.7367553712,93.2277365959998,122.23675537109376,0.010868290343262407,76168.328125,6.772263404000175,1.2997345777421287e-06,6.475817855289279e-07,Jan - Mar 2010,Apr - Jun 2010
Somalia,Togdheer,2010-01-01,0.0,479516.4375,166957.6875,,0.0,0.0,479516.4375,166957.6875,,0.0,0.0,479510.4375,166963.71875,,0.0,0.0,0.0,0.0,646474.125,646474.125,646474.125,646474.125,646474.15625,646474.15625,0.0,0.0,74.17411137684746,25.82588862315255,0.0,646474.125,100.0,166957.6875,25.82588862315255,0.0,0.0,0.0,0.0,74.17411137684746,25.82588862315255,0.0,646474.125,100.0,166957.6875,25.82588862315255,0.0,0.0,0.0,0.0,74.17317967998818,25.826820320011826,0.0,646474.15625,100.0,166963.71875,25.826820320011826,0.0,0.0,0.0,0.0,Jan - Mar 2010,Apr - Jun 2010
Somalia,Sool,2010-01-01,61.41008758544922,215584.109375,19526.341796875,,0.0,61.41008758544922,215584.109375,19526.341796875,,0.0,0.0,215511.265625,19660.591796875,,0.0,0.0,0.0,0.0,235171.8612594605,235171.8612594605,235171.8612594605,235171.8612594605,235171.857421875,235171.857421875,0.0,0.026112855193035484,91.67087772339836,8.303009421408616,0.0,235110.451171875,99.97388714480695,19526.341796875,8.303009421408616,61.41008758544922,0.026112855193035484,0.0,0.026112855193035484,91.67087772339836,8.303009421408616,0.0,235110.451171875,99.97388714480695,19526.341796875,8.303009421408616,61.41008758544922,0.026112855193035484,0.0,0.0,91.63990453092104,8.360095469078956,0.0,235171.857421875,100.0,19660.591796875,8.360095469078956,0.0,0.0,0.026112855193034086,0.0,Jan - Mar 2010,Apr - Jun 2010
Somalia,Sanaag,2010-01-01,332.151611328125,335542.34375,95739.25,,0.0,332.151611328125,335542.34375,95739.25,,0.0,0.0,332.151611328125,431281.53125,,0.0,0.0,0.0,0.0,431613.7453613281,431613.7453613281,431613.7453613281,431613.7453613281,431613.6828613281,431613.6828613281,0.0,0.07695575381874417,77.741347989068,22.181696257113238,0.0,431281.59375,99.92304424618126,95739.25,22.181696257113238,332.151611328125,0.07695575381874417,0.0,0.07695575381874417,77.741347989068,22.181696257113238,0.0,431281.59375,99.92304424618126,95739.25,22.181696257113238,332.151611328125,0.07695575381874417,0.0,0.0,0.07695576496235433,99.92304423503764,0.0,431613.6828613281,100.0,431281.53125,99.92304423503764,0.0,0.0,0.0769557538187371,0.0,Jan - Mar 2010,Apr - Jun 2010
Somalia,Mudug,2010-01-01,0.0,0.0,561146.5625,,0.0,0.0,0.0,561146.5625,,0.0,0.0,147938.921875,413207.65625,,0.0,0.0,0.0,0.0,561146.5625,561146.5625,561146.5625,561146.5625,561146.578125,561146.578125,0.0,0.0,0.0,100.0,0.0,561146.5625,100.0,561146.5625,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,561146.5625,100.0,561146.5625,100.0,0.0,0.0,0.0,0.0,26.36368600327549,73.63631399672452,0.0,561146.578125,100.0,413207.65625,73.63631399672452,0.0,0.0,0.0,0.0,Jan - Mar 2010,Apr - Jun 2010
