,date,ADMIN1,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2
53,2010-01-01,Woqooyi Galbeed,76168.328125,1048479.65625,62.003448486328125,,0.0,76168.328125,1048479.65625,62.003448486328125,,0.0,76168.328125,1048419.421875,122.23675537109375,,0.0,0.0,0.0,0.0,1124709.9878234863,1124709.9878234863,1124709.9878234863,1124709.9878234863,1124709.986755371,1124709.986755371
54,2010-04-01,Awdal,0.0,476184.3828125,0.0,,0.0,0.0,476184.3828125,0.0,,0.0,0.0,476184.3828125,0.0,,0.0,0.0,0.0,0.0,476184.3828125,476184.3828125,476184.3828125,476184.3828125,476184.3828125,476184.3828125
55,2010-04-01,Bakool,0.0,101635.6664276123,395323.021484375,,0.0,0.0,101635.6664276123,395323.021484375,,0.0,0.0,496708.6875,250.00035095214844,,0.0,0.0,0.0,0.0,496958.6879119873,496958.6879119873,496958.6879119873,496958.6879119873,496958.68785095215,496958.68785095215
56,2010-04-01,Banadir,1098.5062255859375,45684.94921875,1378022.5,,0.0,1098.5062255859375,45684.94921875,1378022.5,,0.0,1098.5062255859375,51166.98828125,1372540.375,,0.0,0.0,0.0,0.0,1424805.955444336,1424805.955444336,1424805.955444336,1424805.955444336,1424805.869506836,1424805.869506836
57,2010-04-01,Bari,612647.86328125,0.0,0.0,,0.0,612647.86328125,0.0,0.0,,0.0,612647.86328125,0.0,0.0,,0.0,0.0,0.0,0.0,612647.86328125,612647.86328125,612647.86328125,612647.86328125,612647.86328125,612647.86328125
58,2010-04-01,Bay,993908.421875,208.12069702148438,1483.57421875,,0.0,993908.421875,208.12069702148438,1483.57421875,,0.0,993908.421875,1691.6949157714844,0.0,,0.0,0.0,0.0,0.0,995600.1167907715,995600.1167907715,995600.1167907715,995600.1167907715,995600.1167907715,995600.1167907715
59,2010-04-01,Galgaduud,0.0,0.0,528662.2109375,,0.0,0.0,0.0,528662.2109375,,0.0,0.0,134516.9296875,394145.2890625,,0.0,0.0,0.0,0.0,528662.2109375,528662.2109375,528662.2109375,528662.2109375,528662.21875,528662.21875
60,2010-04-01,Gedo,98835.04509735107,104672.22833251953,323392.0365905762,,0.0,98835.04509735107,104672.22833251953,323392.0365905762,,0.0,203429.90447235107,323469.4115905762,0.0,,0.0,0.0,0.0,0.0,526899.3100204468,526899.3100204468,526899.3100204468,526899.3100204468,526899.3160629272,526899.3160629272
61,2010-04-01,Hiraan,0.0,0.0,526768.6328125,,0.0,0.0,0.0,526768.6328125,,0.0,0.0,274.1504783630371,526494.484375,,0.0,0.0,0.0,0.0,526768.6328125,526768.6328125,526768.6328125,526768.6328125,526768.634853363,526768.634853363
62,2010-04-01,Lower Juba,610493.65625,0.0,0.0,,0.0,610493.65625,0.0,0.0,,0.0,610493.65625,0.0,0.0,,0.0,0.0,0.0,0.0,610493.65625,610493.65625,610493.65625,610493.65625,610493.65625,610493.65625
63,2010-04-01,Lower Shabelle,229514.71643066406,1149003.123046875,1566.3303833007812,,0.0,229514.71643066406,1149003.123046875,1566.3303833007812,,0.0,229514.71643066406,1150500.169921875,69.24976348876953,,0.0,0.0,0.0,0.0,1380084.1698608398,1380084.1698608398,1380084.1698608398,1380084.1698608398,1380084.1361160278,1380084.1361160278
64,2010-04-01,Middle Juba,380810.140625,121.82552337646484,0.0,,0.0,380810.140625,121.82552337646484,0.0,,0.0,380810.140625,121.82552337646484,0.0,,0.0,0.0,0.0,0.0,380931.96614837646,380931.96614837646,380931.96614837646,380931.96614837646,380931.96614837646,380931.96614837646
65,2010-04-01,Middle Shabelle,0.0,114456.95703125,713186.46875,,0.0,0.0,114456.95703125,713186.46875,,0.0,0.0,825219.2890625,2424.1644287109375,,0.0,0.0,0.0,0.0,827643.42578125,827643.42578125,827643.42578125,827643.42578125,827643.4534912109,827643.4534912109
66,2010-04-01,Mudug,0.0,0.0,561146.53125,,0.0,0.0,0.0,561146.53125,,0.0,0.0,147938.9326171875,413207.599609375,,0.0,0.0,0.0,0.0,561146.53125,561146.53125,561146.53125,561146.53125,561146.5322265625,561146.5322265625
67,2010-04-01,Nugaal,94.41131591796875,103223.19511413574,96983.26534557343,,0.0,94.41131591796875,103223.19511413574,96983.26534557343,,0.0,94.41131591796875,124189.14726257324,76017.31222057343,,0.0,0.0,0.0,0.0,200300.87177562714,200300.87177562714,200300.87177562714,200300.87177562714,200300.87079906464,200300.87079906464
68,2010-04-01,Sanaag,332.151611328125,335542.3046875,95739.2578125,,0.0,332.151611328125,335542.3046875,95739.2578125,,0.0,332.151611328125,335542.3046875,95739.2578125,,0.0,0.0,0.0,0.0,431613.7141113281,431613.7141113281,431613.7141113281,431613.7141113281,431613.7141113281,431613.7141113281
69,2010-04-01,Sool,61.41008758544922,215584.111328125,19526.34130859375,,0.0,61.41008758544922,215584.111328125,19526.34130859375,,0.0,61.41008758544922,215584.111328125,19526.34130859375,,0.0,0.0,0.0,0.0,235171.8627243042,235171.8627243042,235171.8627243042,235171.8627243042,235171.8627243042,235171.8627243042
70,2010-04-01,Togdheer,0.0,598171.59375,48302.52005767822,,0.0,0.0,598171.59375,48302.52005767822,,0.0,0.0,646474.1171875,0.0,,0.0,0.0,0.0,0.0,646474.1138076782,646474.1138076782,646474.1138076782,646474.1138076782,646474.1171875,646474.1171875
71,2010-04-01,Woqooyi Galbeed,76168.328125,1048479.65625,62.00344467163086,,0.0,76168.328125,1048479.65625,62.00344467163086,,0.0,76168.328125,1048541.65625,0.0,,0.0,0.0,0.0,0.0,1124709.9878196716,1124709.9878196716,1124709.9878196716,1124709.9878196716,1124709.984375,1124709.984375
72,2010-07-01,Awdal,476166.83984375,17.54217529296875,0.0,,0.0,476166.83984375,17.54217529296875,0.0,,0.0,17.54217529296875,476166.83984375,0.0,,0.0,0.0,0.0,0.0,476184.38201904297,476184.38201904297,476184.38201904297,476184.38201904297,476184.38201904297,476184.38201904297
73,2010-07-01,Bakool,0.0,48238.93882751465,448719.748046875,,0.0,0.0,48238.93882751465,448719.748046875,,0.0,0.0,48238.93883514404,448719.748046875,,0.0,0.0,0.0,0.0,496958.68687438965,496958.68687438965,496958.68687438965,496958.68687438965,496958.68688201904,496958.68688201904
74,2010-07-01,Banadir,1098.5062255859375,43783.76171875,1379923.625,,0.0,1098.5062255859375,43783.76171875,1379923.625,,0.0,1098.5062255859375,43783.76171875,1379923.625,,0.0,0.0,0.0,0.0,1424805.892944336,1424805.892944336,1424805.892944336,1424805.892944336,1424805.892944336,1424805.892944336
75,2010-07-01,Bari,612647.86328125,0.0,0.0,,0.0,612647.86328125,0.0,0.0,,0.0,0.0,612647.86328125,0.0,,0.0,0.0,0.0,0.0,612647.86328125,612647.86328125,612647.86328125,612647.86328125,612647.86328125,612647.86328125
76,2010-07-01,Bay,994116.5625,214.38162231445312,1269.1925964355469,,0.0,994116.5625,214.38162231445312,1269.1925964355469,,0.0,994116.5625,214.38162231445312,1269.1925964355469,,0.0,0.0,0.0,0.0,995600.13671875,995600.13671875,995600.13671875,995600.13671875,995600.13671875,995600.13671875
77,2010-07-01,Galgaduud,0.0,342089.890625,186572.3203125,,0.0,0.0,342089.890625,186572.3203125,,0.0,0.0,160621.97265625,368040.2421875,,0.0,0.0,0.0,0.0,528662.2109375,528662.2109375,528662.2109375,528662.2109375,528662.21484375,528662.21484375
78,2010-07-01,Gedo,177274.09197235107,349531.3197937012,93.90287780761719,,0.0,177274.09197235107,349531.3197937012,93.90287780761719,,0.0,177274.09198760986,349531.3197937012,93.90287780761719,,0.0,0.0,0.0,0.0,526899.3146438599,526899.3146438599,526899.3146438599,526899.3146438599,526899.3146591187,526899.3146591187
79,2010-07-01,Hiraan,0.0,526768.6328125,0.0,,0.0,0.0,526768.6328125,0.0,,0.0,0.0,526567.5078125,201.12155151367188,,0.0,0.0,0.0,0.0,526768.6328125,526768.6328125,526768.6328125,526768.6328125,526768.6293640137,526768.6293640137
80,2010-07-01,Lower Juba,610493.65625,0.0,0.0,,0.0,610493.65625,0.0,0.0,,0.0,610493.65625,0.0,0.0,,0.0,0.0,0.0,0.0,610493.65625,610493.65625,610493.65625,610493.65625,610493.65625,610493.65625
81,2010-07-01,Lower Shabelle,1317809.0,1527.2691650390625,60747.920570373535,,0.0,1317809.0,1527.2691650390625,60747.920570373535,,0.0,1317809.0,1527.2691650390625,60747.920570373535,,0.0,0.0,0.0,0.0,1380084.1897354126,1380084.1897354126,1380084.1897354126,1380084.1897354126,1380084.1897354126,1380084.1897354126
82,2010-07-01,Middle Juba,380931.9609375,0.0,0.0,,0.0,380931.9609375,0.0,0.0,,0.0,380931.9609375,0.0,0.0,,0.0,0.0,0.0,0.0,380931.9609375,380931.9609375,380931.9609375,380931.9609375,380931.9609375,380931.9609375
83,2010-07-01,Middle Shabelle,0.0,827643.421875,0.0,,0.0,0.0,827643.421875,0.0,,0.0,0.0,827643.421875,0.0,,0.0,0.0,0.0,0.0,827643.421875,827643.421875,827643.421875,827643.421875,827643.421875,827643.421875
84,2010-07-01,Mudug,0.0,350874.369140625,210272.158203125,,0.0,0.0,350874.369140625,210272.158203125,,0.0,0.0,147938.9326171875,413207.599609375,,0.0,0.0,0.0,0.0,561146.52734375,561146.52734375,561146.52734375,561146.52734375,561146.5322265625,561146.5322265625
85,2010-07-01,Nugaal,80890.275390625,111290.6943359375,8119.91015625,,0.0,80890.275390625,111290.6943359375,8119.91015625,,0.0,0.0,109064.74609375,91236.126953125,,0.0,0.0,0.0,0.0,200300.8798828125,200300.8798828125,200300.8798828125,200300.8798828125,200300.873046875,200300.873046875
86,2010-07-01,Sanaag,335874.46875,95739.2578125,0.0,,0.0,335874.46875,95739.2578125,0.0,,0.0,0.0,431613.7421875,0.0,,0.0,0.0,0.0,0.0,431613.7265625,431613.7265625,431613.7265625,431613.7265625,431613.7421875,431613.7421875
87,2010-07-01,Sool,219227.884765625,15943.96921157837,0.0,,0.0,219227.884765625,15943.96921157837,0.0,,0.0,0.0,235143.814453125,28.038898468017578,,0.0,0.0,0.0,0.0,235171.85397720337,235171.85397720337,235171.85397720337,235171.85397720337,235171.85335159302,235171.85335159302
88,2010-07-01,Togdheer,480496.125,165977.986328125,0.0,,0.0,480496.125,165977.986328125,0.0,,0.0,0.0,646474.1171875,0.0,,0.0,0.0,0.0,0.0,646474.111328125,646474.111328125,646474.111328125,646474.111328125,646474.1171875,646474.1171875
89,2010-07-01,Woqooyi Galbeed,1119323.421875,5386.60888671875,0.0,,0.0,1119323.421875,5386.60888671875,0.0,,0.0,76168.328125,1048541.65625,0.0,,0.0,0.0,0.0,0.0,1124710.0307617188,1124710.0307617188,1124710.0307617188,1124710.0307617188,1124709.984375,1124709.984375
90,2010-10-01,Awdal,476184.3828125,0.0,0.0,,0.0,476184.3828125,0.0,0.0,,0.0,476166.83984375,17.54217529296875,0.0,,0.0,0.0,0.0,0.0,476184.3828125,476184.3828125,476184.3828125,476184.3828125,476184.38201904297,476184.38201904297
91,2010-10-01,Bakool,0.0,314958.296875,182000.3974609375,,0.0,0.0,314958.29296875,182000.3974609375,,0.0,0.0,314958.29296875,182000.3974609375,,0.0,0.0,0.0,0.0,496958.6943359375,496958.6943359375,496958.6904296875,496958.6904296875,496958.6904296875,496958.6904296875
92,2010-10-01,Banadir,8481.736328125,41441.03125,1374883.125,,0.0,8481.736328125,41441.03125,1374883.125,,0.0,8481.736328125,41441.03125,1374883.125,,0.0,0.0,0.0,0.0,1424805.892578125,1424805.892578125,1424805.892578125,1424805.892578125,1424805.892578125,1424805.892578125
93,2010-10-01,Bari,227747.19140625,384900.677734375,0.0,,0.0,126334.13903808594,486313.7177734375,0.0,,0.0,126334.13903808594,486313.7177734375,0.0,,0.0,0.0,0.0,0.0,612647.869140625,612647.869140625,612647.8568115234,612647.8568115234,612647.8568115234,612647.8568115234
94,2010-10-01,Bay,994116.5625,1126.3264770507812,357.2477264404297,,0.0,994116.5625,1126.3264770507812,357.2477264404297,,0.0,994116.5625,1126.3264770507812,357.2477264404297,,0.0,0.0,0.0,0.0,995600.1367034912,995600.1367034912,995600.1367034912,995600.1367034912,995600.1367034912,995600.1367034912
95,2010-10-01,Galgaduud,0.0,34110.921875,494551.2890625,,0.0,0.0,34331.049072265625,494331.15625,,0.0,0.0,34060.40625,494601.796875,,0.0,0.0,0.0,0.0,528662.2109375,528662.2109375,528662.2053222656,528662.2053222656,528662.203125,528662.203125
