ADMIN0,ADMIN1,ADMIN2,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,period_ML1,period_ML2
Somalia,Sanaag,Ceel Afweyn,2009-07-01,0.0,0.0,0.0,107017.4453125,0.0,0.0,0.0,0.0,107017.4453125,0.0,0.0,0.0,0.0,107017.4453125,0.0,0.0,0.0,0.0,0.0,107017.4453125,0.0,107017.4453125,0.0,107017.4453125,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Nugaal,Garoowe,2009-07-01,0.0,0.0,0.0,88204.71875,0.0,0.0,0.0,0.0,88204.71875,0.0,0.0,0.0,0.0,88204.71875,0.0,0.0,0.0,0.0,0.0,88204.71875,0.0,88204.71875,0.0,88204.71875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Nugaal,Burtinle,2009-07-01,0.0,0.0,0.0,57090.12109375,0.0,0.0,0.0,0.0,57090.12109375,0.0,0.0,0.0,0.0,57090.12109375,0.0,0.0,0.0,0.0,0.0,57090.12109375,0.0,57090.12109375,0.0,57090.12109375,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Lower Juba,Kismaayo,2009-07-01,0.0,0.0,0.0,254875.453125,0.0,0.0,0.0,0.0,254875.453125,0.0,0.0,0.0,0.0,254875.453125,0.0,0.0,0.0,0.0,0.0,254875.453125,0.0,254875.453125,0.0,254875.453125,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Mudug,Jariiban,2009-07-01,0.0,0.0,0.0,59739.0703125,0.0,0.0,0.0,0.0,59739.0703125,0.0,0.0,0.0,0.0,59739.0703125,0.0,0.0,0.0,0.0,0.0,59739.0703125,0.0,59739.0703125,0.0,59739.0703125,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Lower Juba,Badhaadhe,2009-07-01,0.0,0.0,0.0,57472.26953125,0.0,0.0,0.0,0.0,57472.26953125,0.0,0.0,0.0,0.0,57472.26953125,0.0,0.0,0.0,0.0,0.0,57472.26953125,0.0,57472.26953125,0.0,57472.26953125,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Bari,Qardho,2009-07-01,0.0,0.0,0.0,129609.1875,0.0,0.0,0.0,0.0,129609.1875,0.0,0.0,0.0,0.0,129609.1875,0.0,0.0,0.0,0.0,0.0,129609.1875,0.0,129609.1875,0.0,129609.1875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Bari,Qandala,2009-07-01,0.0,0.0,0.0,62170.453125,0.0,0.0,0.0,0.0,62170.453125,0.0,0.0,0.0,0.0,62170.453125,0.0,0.0,0.0,0.0,0.0,62170.453125,0.0,62170.453125,0.0,62170.453125,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Bari,Iskushuban,2009-07-01,0.0,0.0,0.0,75577.609375,0.0,0.0,0.0,0.0,75577.609375,0.0,0.0,0.0,0.0,75577.609375,0.0,0.0,0.0,0.0,0.0,75577.609375,0.0,75577.609375,0.0,75577.609375,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Bari,Caluula,2009-07-01,0.0,0.0,0.0,57518.7109375,0.0,0.0,0.0,0.0,57518.7109375,0.0,0.0,0.0,0.0,57518.7109375,0.0,0.0,0.0,0.0,0.0,57518.7109375,0.0,57518.7109375,0.0,57518.7109375,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
