,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_3,ML1_2,ML1_3,ML2_1,ML2_2,ML2_3,CS_4,CS_5,ML1_1,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,ML1_99,CS_99,ML2_99
41,Mandoul,Mandoul Oriental,2009-07-01,0.0,267757.1875,0.0,267757.1875,0.0,267757.1875,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,267757.1875,267757.1875,267757.1875,267757.1875,267757.1875,267757.1875,,,
42,Mayo-Kebbi Est,Kabbia,2009-07-01,84.906005859375,237930.515625,499.4906005859375,238015.421875,499.4906005859375,238015.421875,499.4906005859375,0.0,0.0,0,0.0,0.0,0,0.0,0,238514.9122314453,238514.9122314453,238514.91247558594,238514.91247558594,238514.91247558594,238514.91247558594,,,
43,Mayo-Kebbi Est,Mayo-Boneye,2009-07-01,10.785374641418457,244662.21875,0.0,244673.0,0.0,244673.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,244673.00412464142,244673.00412464142,244673.0,244673.0,244673.0,244673.0,,,
44,Mayo-Kebbi Est,Mayo-Lemié,2009-07-01,0.0,85516.421875,0.0,85478.375,38.04225158691406,85478.375,38.04225158691406,0.0,0.0,0,0.0,0.0,0,0.0,0,85516.421875,85516.421875,85516.41725158691,85516.41725158691,85516.41725158691,85516.41725158691,,,
45,Mayo-Kebbi Est,Mont Illi,2009-07-01,78.93431091308594,385.9229431152344,238413.046875,464.8572692871094,238413.046875,464.8572692871094,238413.046875,0.0,0.0,0,0.0,0.0,0,0.0,0,238877.90412902832,238877.90412902832,238877.9041442871,238877.9041442871,238877.9041442871,238877.9041442871,,,
46,Mayo-Kebbi Ouest,Lac Léré,2009-07-01,174029.90625,86.33799743652344,0.0,174116.234375,0.0,174116.234375,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,174116.24424743652,174116.24424743652,174116.234375,174116.234375,174116.234375,174116.234375,,,
47,Mayo-Kebbi Ouest,Mayo-Binder,2009-07-01,65680.4140625,0.0,0.0,65680.4140625,0.0,65680.4140625,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,65680.4140625,65680.4140625,65680.4140625,65680.4140625,65680.4140625,65680.4140625,,,
48,Mayo-Kebbi Ouest,Mayo-Dallah,2009-07-01,323.74700927734375,327203.78125,0.0,327527.53125,0.0,327527.53125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,327527.52825927734,327527.52825927734,327527.53125,327527.53125,327527.53125,327527.53125,,,
49,Moyen-Chari,Bahr-Köh,2009-07-01,452.40625,314922.625,0.0,315375.0,0.0,315375.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,315375.03125,315375.03125,315375.0,315375.0,315375.0,315375.0,,,
50,Moyen-Chari,Grande Sido,2009-07-01,0.0,111127.515625,0.0,111127.515625,0.0,111127.515625,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,111127.515625,111127.515625,111127.515625,111127.515625,111127.515625,111127.515625,,,
51,Moyen-Chari,Lac Iro,2009-07-01,181797.0,445.0702819824219,0.0,182242.0625,0.0,182232.859375,9.213190078735352,0.0,0.0,0,0.0,0.0,0,0.0,0,182242.07028198242,182242.07028198242,182242.0625,182242.0625,182242.07256507874,182242.07256507874,,,
52,N'Djamena,N'Djaména,2009-07-01,0.0,966989.5,0.0,0.0,966989.5,0.0,966989.5,0.0,0.0,0,0.0,0.0,0,0.0,0,966989.5,966989.5,966989.5,966989.5,966989.5,966989.5,,,
53,Ouaddaï,Abdi,2009-07-01,17.01906967163086,111797.6640625,0.0,111814.6796875,0.0,0.0,111814.6796875,0.0,0.0,0,0.0,0.0,0,0.0,0,111814.68313217163,111814.68313217163,111814.6796875,111814.6796875,111814.6796875,111814.6796875,,,
54,Ouaddaï,Assoungha,2009-07-01,586.58154296875,293218.375,0.0,293804.9375,0.0,0.0,293804.9375,0.0,0.0,0,0.0,0.0,0,0.0,0,293804.95654296875,293804.95654296875,293804.9375,293804.9375,293804.9375,293804.9375,,,
55,Ouaddaï,Ouara,2009-07-01,348325.09375,873.9398193359375,0.0,349199.0625,0.0,0.0,349199.0625,0.0,0.0,0,0.0,0.0,0,0.0,0,349199.03356933594,349199.03356933594,349199.0625,349199.0625,349199.0625,349199.0625,,,
56,Salamat,Aboudéia,2009-07-01,68107.8359375,0.0,0.0,68107.8359375,0.0,68107.8359375,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,68107.8359375,68107.8359375,68107.8359375,68107.8359375,68107.8359375,68107.8359375,,,
57,Salamat,Bahr-Azoum,2009-07-01,191371.921875,0.0,0.0,191371.921875,0.0,191367.078125,4.846063613891602,0.0,0.0,0,0.0,0.0,0,0.0,0,191371.921875,191371.921875,191371.921875,191371.921875,191371.9241886139,191371.9241886139,,,
58,Salamat,Haraze-Mangueigne,2009-07-01,57724.62109375,3.785372018814087,0.0,57728.41015625,0.0,57724.62109375,3.785372018814087,0.0,0.0,0,0.0,0.0,0,0.0,0,57728.406465768814,57728.406465768814,57728.41015625,57728.41015625,57728.406465768814,57728.406465768814,,,
59,Sila,Djourf Al Ahmar,2009-07-01,313.31109619140625,85983.390625,0.0,86296.703125,0.0,284.5906982421875,86012.109375,0.0,0.0,0,0.0,0.0,0,0.0,0,86296.7017211914,86296.7017211914,86296.703125,86296.703125,86296.70007324219,86296.70007324219,,,
60,Sila,Kimiti,2009-07-01,19.97677993774414,319502.3125,0.0,319522.28125,0.0,19.97677993774414,319502.3125,0.0,0.0,0,0.0,0.0,0,0.0,0,319522.28927993774,319522.28927993774,319522.28125,319522.28125,319522.28927993774,319522.28927993774,,,
61,Tandjilé,Tandjile Ouest,2009-07-01,287909.6875,271.6298522949219,0.0,288181.3125,0.0,288181.3125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,288181.3173522949,288181.3173522949,288181.3125,288181.3125,288181.3125,288181.3125,,,
62,Tandjilé,Tandjilé Centre,2009-07-01,128955.2265625,335.3589782714844,0.0,129290.578125,0.0,129290.578125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,129290.58554077148,129290.58554077148,129290.578125,129290.578125,129290.578125,129290.578125,,,
63,Tandjilé,Tandjilé Est,2009-07-01,243.9117431640625,269123.21875,0.0,269367.125,0.0,269367.125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,269367.13049316406,269367.13049316406,269367.125,269367.125,269367.125,269367.125,,,
64,Tibesti,Tibesti Est,2009-07-01,0.0,13840.91796875,0.0,13840.91796875,0.0,0.0,13840.91796875,0.0,0.0,0,0.0,0.0,0,0.0,0,13840.91796875,13840.91796875,13840.91796875,13840.91796875,13840.91796875,13840.91796875,,,
65,Tibesti,Tibesti Ouest,2009-07-01,0.0,12873.90234375,0.0,12873.90234375,0.0,0.0,12873.90234375,0.0,0.0,0,0.0,0.0,0,0.0,0,12873.90234375,12873.90234375,12873.90234375,12873.90234375,12873.90234375,12873.90234375,,,
