,date,admin1Name,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2
76,2010-07-01,Bay,792182,773952,0.0,773952.0,0.0,0.0,0.0,0.0,773952.0,0.0,0.0,0.0,0.0,773952.0,0.0,0.0,0.0,773952.0,773952.0,773952.0
77,2010-07-01,Galgaduud,569434,556330,0.0,0.0,333560.0,222770.0,0.0,0.0,0.0,333560.0,222770.0,0.0,0.0,0.0,107341.0,448989.0,0.0,556330.0,556330.0,556330.0
78,2010-07-01,Gedo,508403,496702,0.0,231966.0,264736.0,0.0,0.0,0.0,231966.0,264736.0,0.0,0.0,0.0,231966.0,264736.0,0.0,0.0,496702.0,496702.0,496702.0
79,2010-07-01,Hiraan,520686,508704,0.0,0.0,508704.0,0.0,0.0,0.0,0.0,508704.0,0.0,0.0,0.0,0.0,508704.0,0.0,0.0,508704.0,508704.0,508704.0
80,2010-07-01,Lower Juba,489307,478047,0.0,478047.0,0.0,0.0,0.0,0.0,478047.0,0.0,0.0,0.0,0.0,478047.0,0.0,0.0,0.0,478047.0,478047.0,478047.0
81,2010-07-01,Lower Shabelle,1202219,1174554,0.0,1174554.0,0.0,0.0,0.0,0.0,1174554.0,0.0,0.0,0.0,0.0,1174554.0,0.0,0.0,0.0,1174554.0,1174554.0,1174554.0
82,2010-07-01,Middle Juba,362921,354569,0.0,354569.0,0.0,0.0,0.0,0.0,354569.0,0.0,0.0,0.0,0.0,354569.0,0.0,0.0,0.0,354569.0,354569.0,354569.0
83,2010-07-01,Middle Shabelle,516035,504160,0.0,0.0,504160.0,0.0,0.0,0.0,0.0,504160.0,0.0,0.0,0.0,0.0,504160.0,0.0,0.0,504160.0,504160.0,504160.0
84,2010-07-01,Mudug,717862,701342,0.0,0.0,508767.0,192575.0,0.0,0.0,0.0,508767.0,192575.0,0.0,0.0,0.0,50765.0,650577.0,0.0,701342.0,701342.0,701342.0
85,2010-07-01,Nugaal,392697,383660,0.0,241025.0,142635.0,0.0,0.0,0.0,241025.0,142635.0,0.0,0.0,0.0,0.0,320192.0,63468.0,0.0,383660.0,383660.0,383660.0
