ADMIN0,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,CS_88,ML1_88,ML2_88
Malawi,Southern,Neno,2012-04-01,131964.6154641956,0.0,0.0,0.0,131964.6154641956,0.0,0.0,0.0,131964.6154641956,0.0,0.0,0,0,0.0,0,0,0.0,0,131964.6154641956,131964.6154641956,131964.6154641956,131964.6154641956,131964.6154641956,131964.6154641956,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,131964.6154641956,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,131964.6154641956,100.0,0.0,0.0,100.0,0.0,0.0,131964.6154641956,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,
Malawi,Southern,Balaka,2012-04-01,369142.28241729736,0.0,0.0,1516.733253479004,367625.54916381836,0.0,1516.733253479004,0.0,367625.54916381836,0.0,0.0,0,0,0.0,0,0,0.0,0,369142.28241729736,369142.28241729736,369142.28241729736,369142.28241729736,369142.28241729736,369142.28241729736,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,369142.28241729736,100.0,0.41088039103697443,99.58911960896303,0.0,0.0,0.0,0.0,0.0,0,0.0,369142.28241729736,100.0,0.41088039103697443,0.0,99.58911960896303,0.0,0.0,367625.54916381836,99.58911960896303,0.0,0.0,1516.733253479004,0.41088039103697443,99.58911960896303,0.0,,,
Malawi,Southern,Phalombe,2012-04-01,5441.0504150390625,357628.46545410156,0.0,4532.12158203125,358537.3942871094,0.0,4532.12158203125,908.9288330078125,357628.46545410156,0.0,0.0,0,0,0.0,0,0,0.0,0,363069.5158691406,363069.5158691406,363069.5158691406,363069.5158691406,363069.5158691406,363069.5158691406,1.498624967732117,98.50137503226787,0.0,0.0,0.0,0.0,0.0,0,0.0,363069.5158691406,100.0,1.2482792919647763,98.75172070803522,0.0,0.0,0.0,0.0,0.0,0,0.0,363069.5158691406,100.0,1.2482792919647763,0.25034567576734074,98.50137503226787,0.0,0.0,357628.46545410156,98.50137503226787,0.0,0.0,5441.0504150390625,1.498624967732117,98.50137503226787,0.0,,,
Malawi,Southern,Thyolo,2012-04-01,693221.3743286133,1939.6302490234375,0.0,3042.24560546875,692118.758972168,0.0,890.388671875,692330.9856567383,1939.6302490234375,0.0,0.0,0,0,0.0,0,0,0.0,0,695161.0045776367,695161.0045776367,695161.0045776367,695161.0045776367,695161.0045776367,695161.0045776367,99.72098114879128,0.27901885120870823,0.0,0.0,0.0,0.0,0.0,0,0.0,695161.0045776367,100.0,0.437631798307954,99.56236820169204,0.0,0.0,0.0,0.0,0.0,0,0.0,695161.0045776367,100.0,0.12808380591140595,99.59289734287988,0.27901885120870823,0.0,0.0,1939.6302490234375,0.27901885120870823,0.0,0.0,693221.3743286133,99.72098114879128,0.27901885120870823,0.0,,,
Malawi,Southern,Zomba,2012-04-01,453385.93061828613,210039.4375,0.0,137386.2403564453,526039.1277618408,0.0,137386.2403564453,91892.515625,434146.6121368408,0.0,0.0,0,0,0.0,0,0,0.0,0,663425.3681182861,663425.3681182861,663425.3681182861,663425.3681182861,663425.3681182861,663425.3681182861,68.34015586474365,31.659844135256343,0.0,0.0,0.0,0.0,0.0,0,0.0,663425.3681182861,100.0,20.708620284768774,79.29137971523123,0.0,0.0,0.0,0.0,0.0,0,0.0,663425.3681182861,100.0,20.708620284768774,13.851221258789115,65.4401584564421,0.0,0.0,434146.6121368408,65.4401584564421,0.0,0.0,229278.7559814453,34.55984154355789,65.4401584564421,0.0,,,
Malawi,Southern,Zomba City,2012-04-01,74845.33544921875,15886.759765625,0.0,62769.18896484375,27962.90625,0.0,62769.18896484375,0.0,27962.90625,0.0,0.0,0,0,0.0,0,0,0.0,0,90732.09521484375,90732.09521484375,90732.09521484375,90732.09521484375,90732.09521484375,90732.09521484375,82.49047404007713,17.50952595992287,0.0,0.0,0.0,0.0,0.0,0,0.0,90732.09521484375,100.0,69.18079960152262,30.81920039847738,0.0,0.0,0.0,0.0,0.0,0,0.0,90732.09521484375,100.0,69.18079960152262,0.0,30.81920039847738,0.0,0.0,27962.90625,30.81920039847738,0.0,0.0,62769.18896484375,69.18079960152262,30.81920039847738,0.0,,,
Malawi,Southern,Mwanza,2012-04-01,110253.83619689941,0.0,0.0,0.0,110253.83619689941,0.0,0.0,0.0,110253.83619689941,0.0,0.0,0,0,0.0,0,0,0.0,0,110253.83619689941,110253.83619689941,110253.83619689941,110253.83619689941,110253.83619689941,110253.83619689941,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110253.83619689941,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110253.83619689941,100.0,0.0,0.0,100.0,0.0,0.0,110253.83619689941,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,
Malawi,Northern,Rumphi,2012-04-01,184416.93764500692,0.0,0.0,184416.93764500692,0.0,0.0,184416.93764500692,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,184416.93764500692,184416.93764500692,184416.93764500692,184416.93764500692,184416.93764500692,184416.93764500692,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,184416.93764500692,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,184416.93764500692,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184416.93764500692,100.0,0.0,0.0,,,
Malawi,Southern,Chikwawa,2012-04-01,505663.5358428955,0.0,0.0,0.0,505663.5358428955,0.0,0.0,86926.5138092041,418737.0220336914,0.0,0.0,0,0,0.0,0,0,0.0,0,505663.5358428955,505663.5358428955,505663.5358428955,505663.5358428955,505663.5358428955,505663.5358428955,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,505663.5358428955,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,505663.5358428955,100.0,0.0,17.19058378696527,82.80941621303474,0.0,0.0,418737.0220336914,82.80941621303474,0.0,0.0,86926.5138092041,17.19058378696527,82.80941621303474,0.0,,,
Malawi,Northern,Mzuzu City,2012-04-01,158955.064453125,0.0,0.0,158955.064453125,0.0,0.0,158955.064453125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,158955.064453125,158955.064453125,158955.064453125,158955.064453125,158955.064453125,158955.064453125,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,158955.064453125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,158955.064453125,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158955.064453125,100.0,0.0,0.0,,,
