,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,CS_88,ML1_88,ML2_88
44,Northern,Likoma,2009-10-01,0.0,0.0,3855.788330078125,0.0,0.0,3855.788330078125,0.0,0.0,0.0,3855.788330078125,0.0,0,0,0.0,0,0,0.0,0,0.0,3855.788330078125,0.0,3855.788330078125,0.0,3855.788330078125,,,
45,Northern,Mzimba,2009-10-01,783330.0,0.0,0.0,783330.0,0.0,0.0,783330.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,783330.0,783330.0,783330.0,783330.0,783330.0,783330.0,,,
46,Northern,Mzuzu City,2009-10-01,140171.390625,0.0,0.0,140171.390625,0.0,0.0,140171.390625,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,140171.390625,140171.390625,140171.390625,140171.390625,140171.390625,140171.390625,,,
47,Northern,Nkhata Bay,2009-10-01,148783.78125,0.0,59880.65234375,148783.78125,0.0,59880.65234375,148783.78125,0.0,0.0,59880.65234375,0.0,0,0,0.0,0,0,0.0,0,148783.78125,208664.43359375,148783.78125,208664.43359375,148783.78125,208664.43359375,,,
48,Northern,Rumphi,2009-10-01,170803.984375,0.0,0.0,170803.984375,0.0,0.0,170803.984375,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,170803.984375,170803.984375,170803.984375,170803.984375,170803.984375,170803.984375,,,
49,Southern,Balaka,2009-10-01,289940.71875,54626.8125,0.0,289940.71875,27214.056640625,0.0,289940.71875,0.0,54626.8125,0.0,0.0,0,0,27412.75,0,0,0.0,0,344567.53125,344567.53125,344567.525390625,344567.525390625,344567.53125,344567.53125,,,
50,Southern,Blantyre,2009-10-01,381686.0625,2388.54638671875,0.0,381686.0625,2388.546630859375,0.0,381686.0625,0.0,2388.54638671875,0.0,0.0,0,0,0.0,0,0,0.0,0,384074.60888671875,384074.60888671875,384074.6091308594,384074.6091308594,384074.60888671875,384074.60888671875,,,
51,Southern,Blantyre City,2009-10-01,682673.0,0.0,0.0,682673.0,0.0,0.0,682673.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,682673.0,682673.0,682673.0,682673.0,682673.0,682673.0,,,
52,Southern,Chikwawa,2009-10-01,84610.4609375,389115.75,0.0,84610.4609375,68025.1640625,0.0,84610.4609375,68025.1640625,321090.625,0.0,0.0,0,0,321090.625,0,0,0.0,0,473726.2109375,473726.2109375,473726.25,473726.25,473726.25,473726.25,,,
53,Southern,Chiradzulu,2009-10-01,308593.1875,0.0,0.0,308593.1875,0.0,0.0,308593.1875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,308593.1875,308593.1875,308593.1875,308593.1875,308593.1875,308593.1875,,,
