date,ADMIN1,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2,period_ML1,period_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,source,ADMIN0,year,month,trigger_ML1_4_20,trigger_ML1_3_30,trigger_ML1_3_5i,threshold_reached_ML1,trigger_ML2_4_20,trigger_ML2_3_30,trigger_ML2_3_5i,threshold_reached_ML2
4/1/10,Addis Ababa,3780729,3194397,3194397,0,0,0,0,3194397,0,0,0,0,3194397,0,0,0,0,3194397,3194397,3194397,Apr - Jun 2010,Jul - Sep 2010,100,0,0,0,0,0,0,0,0,3194397,100,100,0,0,0,0,0,0,0,0,3194397,100,100,0,0,0,0,0,0,0,0,3194397,100,0,0,FewsNet,,2010,4,0,0,0,FALSE,0,0,0,FALSE
4/1/10,Afar,2015347,1702796,0,1028538,674258,0,0,0,1028538,674258,0,0,0,1028538,674258,0,0,1702796,1702796,1702796,Apr - Jun 2010,Jul - Sep 2010,0,60.40289031,39.59710969,0,0,674258,39.59710969,0,0,1028538,60.40289031,0,60.40289031,39.59710969,0,0,674258,39.59710969,0,0,1028538,60.40289031,0,60.40289031,39.59710969,0,0,674258,39.59710969,0,0,1028538,60.40289031,0,0,FewsNet,,2010,4,0,1,0,FALSE,0,1,0,FALSE
4/1/10,Amhara,22808290,19271079,11112011,3646614,4061373,451081,0,11112011,3646614,4061373,451081,0,8893029,2035710,7891259,451081,0,19271079,19271079,19271079,Apr - Jun 2010,Jul - Sep 2010,57.66159228,18.92272872,21.0749642,2.340714809,0,4512454,23.41567901,451081,2.340714809,14758625,76.58432099,57.66159228,18.92272872,21.0749642,2.340714809,0,4512454,23.41567901,451081,2.340714809,14758625,76.58432099,46.14702166,10.56354966,40.94871387,2.340714809,0,8342340,43.28942868,451081,2.340714809,10928739,56.71057132,19.87374967,0,FewsNet,,2010,4,0,0,0,FALSE,0,1,1,TRUE
4/1/10,Benishangul Gumz,1204954,1018082,585267,432815,0,0,0,585267,432815,0,0,0,585267,0,432815,0,0,1018082,1018082,1018082,Apr - Jun 2010,Jul - Sep 2010,57.48721616,42.51278384,0,0,0,0,0,0,0,1018082,100,57.48721616,42.51278384,0,0,0,0,0,0,0,1018082,100,57.48721616,0,42.51278384,0,0,432815,42.51278384,0,0,585267,57.48721616,42.51278384,0,FewsNet,,2010,4,0,0,0,FALSE,0,1,1,TRUE
4/1/10,Dire Dawa,523623,442416,0,442416,0,0,0,0,442416,0,0,0,0,442416,0,0,0,442416,442416,442416,Apr - Jun 2010,Jul - Sep 2010,0,100,0,0,0,0,0,0,0,442416,100,0,100,0,0,0,0,0,0,0,442416,100,0,100,0,0,0,0,0,0,0,442416,100,0,0,FewsNet,,2010,4,0,0,0,FALSE,0,0,0,FALSE
4/1/10,Gambela,498214,420947,71899,0,349048,0,0,71899,0,349048,0,0,71899,349048,0,0,0,420947,420947,420947,Apr - Jun 2010,Jul - Sep 2010,17.08029752,0,82.91970248,0,0,349048,82.91970248,0,0,71899,17.08029752,17.08029752,0,82.91970248,0,0,349048,82.91970248,0,0,71899,17.08029752,17.08029752,82.91970248,0,0,0,0,0,0,0,420947,100,-82.91970248,0,FewsNet,,2010,4,0,1,0,FALSE,0,0,0,FALSE
4/1/10,Harari,275491,232766,0,0,232766,0,0,0,0,232766,0,0,0,0,232766,0,0,232766,232766,232766,Apr - Jun 2010,Jul - Sep 2010,0,0,100,0,0,232766,100,0,0,0,0,0,0,100,0,0,232766,100,0,0,0,0,0,0,100,0,0,232766,100,0,0,0,0,0,0,FewsNet,,2010,4,0,1,0,FALSE,0,1,0,FALSE
4/1/10,Oromia,39382119,33274563,19746234,5998005,7530324,0,0,19746234,5998005,7530324,0,0,19746234,2134410,11393919,0,0,33274563,33274563,33274563,Apr - Jun 2010,Jul - Sep 2010,59.34333082,18.02579646,22.63087272,0,0,7530324,22.63087272,0,0,25744239,77.36912728,59.34333082,18.02579646,22.63087272,0,0,7530324,22.63087272,0,0,25744239,77.36912728,59.34333082,6.414539539,34.24212964,0,0,11393919,34.24212964,0,0,21880644,65.75787036,11.61125692,0,FewsNet,,2010,4,0,0,0,FALSE,0,1,1,TRUE
4/1/10,SNNP,16721876,14128565,2070011,11087351,971203,0,0,2070011,11087351,971203,0,0,2070011,10745925,1312629,0,0,14128565,14128565,14128565,Apr - Jun 2010,Jul - Sep 2010,14.65124731,78.47471417,6.874038517,0,0,971203,6.874038517,0,0,13157362,93.12596148,14.65124731,78.47471417,6.874038517,0,0,971203,6.874038517,0,0,13157362,93.12596148,14.65124731,76.05814886,9.290603823,0,0,1312629,9.290603823,0,0,12815936,90.70939618,2.416565306,0,FewsNet,,2010,4,0,0,0,FALSE,0,0,0,FALSE
4/1/10,Sidama,4432226,3744857,0,3744857,0,0,0,0,3744857,0,0,0,0,3744857,0,0,0,3744857,3744857,3744857,Apr - Jun 2010,Jul - Sep 2010,0,100,0,0,0,0,0,0,0,3744857,100,0,100,0,0,0,0,0,0,0,3744857,100,0,100,0,0,0,0,0,0,0,3744857,100,0,0,FewsNet,,2010,4,0,0,0,FALSE,0,0,0,FALSE
4/1/10,Somali,6397806,5405603,0,3611228,1794375,0,0,0,3611228,1794375,0,0,0,3611228,1794375,0,0,5405603,5405603,5405603,Apr - Jun 2010,Jul - Sep 2010,0,66.80527593,33.19472407,0,0,1794375,33.19472407,0,0,3611228,66.80527593,0,66.80527593,33.19472407,0,0,1794375,33.19472407,0,0,3611228,66.80527593,0,66.80527593,33.19472407,0,0,1794375,33.19472407,0,0,3611228,66.80527593,0,0,FewsNet,,2010,4,0,1,0,FALSE,0,1,0,FALSE
4/1/10,Tigray,5685598,4803848,395327,780147,3628374,0,0,395327,780147,3628374,0,0,395327,1450280,2958241,0,0,4803848,4803848,4803848,Apr - Jun 2010,Jul - Sep 2010,8.229381945,16.2400434,75.53057466,0,0,3628374,75.53057466,0,0,1175474,24.46942534,8.229381945,16.2400434,75.53057466,0,0,3628374,75.53057466,0,0,1175474,24.46942534,8.229381945,30.18996438,61.58065368,0,0,2958241,61.58065368,0,0,1845607,38.41934632,-13.94992098,0,FewsNet,,2010,4,0,1,0,FALSE,0,1,0,FALSE
7/1/10,Addis Ababa,3780729,3194397,0,0,3194397,0,0,0,0,3194397,0,0,0,3194397,0,0,0,3194397,3194397,3194397,Jul - Sep 2010,Oct - Dec 2010,0,0,100,0,0,3194397,100,0,0,0,0,0,0,100,0,0,3194397,100,0,0,0,0,0,100,0,0,0,0,0,0,0,3194397,100,-100,0,FewsNet,,2010,7,0,1,0,FALSE,0,0,0,FALSE
