,date,CS,admin0Name,admin1Name,admin2Name,ML1,ML2,admin1Name_en,Admin2Name_en,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
93,2009-10-01,3.0,Somalia,Bari,Bossaso,3.0,3.0,Bari,Bossaso,469566,446336,0.0,0.0,446336.0,0.0,0.0,446336.0,0.0,0.0,446336.0,0.0,0.0,446336.0,0.0,0.0,446336.0,0.0,0.0,446336.0
94,2009-10-01,3.0,Somalia,Bari,Bandarbeyla,3.0,3.0,Bari,Bandarbeyla,15481,14715,0.0,0.0,14715.0,0.0,0.0,14715.0,0.0,0.0,14715.0,0.0,0.0,14715.0,0.0,0.0,14715.0,0.0,0.0,14715.0
95,2009-10-01,3.0,Somalia,Bari,Caluula,3.0,3.0,Bari,Caluula,48986,46562,0.0,0.0,46562.0,0.0,0.0,46562.0,0.0,0.0,46562.0,0.0,0.0,46562.0,0.0,0.0,46562.0,0.0,0.0,46562.0
96,2009-10-01,3.0,Somalia,Bari,Iskushuban,3.0,3.0,Bari,Iskushuban,58415,55525,0.0,0.0,55525.0,0.0,0.0,55525.0,0.0,0.0,55525.0,0.0,0.0,55525.0,0.0,0.0,55525.0,0.0,0.0,55525.0
97,2009-10-01,3.0,Somalia,Bari,Qandala,3.0,3.0,Bari,Qandala,52111,49533,0.0,0.0,49533.0,0.0,0.0,49533.0,0.0,0.0,49533.0,0.0,0.0,49533.0,0.0,0.0,49533.0,0.0,0.0,49533.0
98,2009-10-01,3.0,Somalia,Bari,Qardho,3.0,3.0,Bari,Qardho,85588,81354,0.0,0.0,81354.0,0.0,0.0,81354.0,0.0,0.0,81354.0,0.0,0.0,81354.0,0.0,0.0,81354.0,0.0,0.0,81354.0
99,2009-10-01,3.0,Somalia,Nugaal,Garoowe,3.0,3.0,Nugaal,Garoowe,246702,234497,0.0,0.0,234497.0,0.0,0.0,234497.0,0.0,0.0,234497.0,0.0,0.0,234497.0,0.0,0.0,234497.0,0.0,0.0,234497.0
100,2009-10-01,4.0,Somalia,Nugaal,Burtinle,4.0,4.0,Nugaal,Burtinle,64963,61749,0.0,0.0,0.0,61749.0,0.0,61749.0,0.0,0.0,0.0,61749.0,0.0,61749.0,0.0,0.0,0.0,61749.0,0.0,61749.0
101,2009-10-01,4.0,Somalia,Nugaal,Eyl,4.0,4.0,Nugaal,Eyl,81032,77023,0.0,0.0,0.0,77023.0,0.0,77023.0,0.0,0.0,0.0,77023.0,0.0,77023.0,0.0,0.0,0.0,77023.0,0.0,77023.0
102,2009-10-01,4.0,Somalia,Mudug,Gaalkacyo,4.0,4.0,Mudug,Gaalkacyo,389194,369940,0.0,0.0,0.0,369940.0,0.0,369940.0,0.0,0.0,0.0,369940.0,0.0,369940.0,0.0,0.0,0.0,369940.0,0.0,369940.0
103,2009-10-01,4.0,Somalia,Mudug,Galdogob,4.0,4.0,Mudug,Galdogob,79595,75657,0.0,0.0,0.0,75657.0,0.0,75657.0,0.0,0.0,0.0,75657.0,0.0,75657.0,0.0,0.0,0.0,75657.0,0.0,75657.0
104,2009-10-01,4.0,Somalia,Mudug,Hobyo,4.0,4.0,Mudug,Hobyo,115222,109522,0.0,0.0,0.0,109522.0,0.0,109522.0,0.0,0.0,0.0,109522.0,0.0,109522.0,0.0,0.0,0.0,109522.0,0.0,109522.0
